well_number,well_position,cycle_number,POOL_T80K_1,POOL_T80K_2,POOL_T80K_3,POOL_T80K_4,POOL_T80K_5,POOL_T80K_6,POOL_T80K_7,POOL_T80K_8,POOL_T80K_9,POOL_T80K_10,POOL_WT_1,Non-targeting,Untransduced_WT,Untransduced_T80K
57,E9,6,271645.2,221491.2,213214.42,211204.58,210420.6,208488.89,211181.7,199836.52,203746.86,197758.8,278249.22,277467.7,237292.25,#N/A
58,E10,6,218388.47,235819.56,225829.47,226852.55,225702.44,225949.22,224875.81,213018.28,210291.5,214712.02,220082.81,279608.22,255718.16,#N/A
59,E11,6,226700.89,267040.34,233512.6,225834.98,226324.58,227292.69,222196.72,204023.14,220046.11,215307.38,222445.27,310075.53,302093.53,#N/A
60,E12,6,226713.27,237749.47,231679.88,232677.84,230526.6,233014.33,223929.08,217037.39,222296.52,217283.97,278098.62,289442.66,290409.97,#N/A
61,F1,6,324508.97,349102.94,352583.6,341450.6,350371.7,339541.44,352540.06,315264,307069.22,303022,374536,521179.44,414435.1,313631.34
62,F2,6,274336.38,294270.38,286072.75,284489.25,294367.72,284229.2,342371.6,263856.4,264821.44,271615.72,350774.28,331727.9,310451.12,265323
63,F3,6,246800.31,260635.81,259607.4,253972.9,250423.55,253318.05,282653.84,264439.12,240310.62,243840.27,256064.83,347024.66,340254.7,234477.25
64,F4,6,249904.92,267067.75,258099.34,253385.97,255227.2,254447.62,303420.44,243247.67,281419.3,252552.72,256059.08,361320.16,345871.8,238291.39
65,F5,6,209772.89,229592.72,222626.27,215532.14,217532.86,216123.84,218668.28,203642.38,215667.97,207694.69,307534.78,238051.73,284556.62,199842.22
66,F6,6,222929.2,236599.06,228297.77,225408.2,228387.89,225379.81,233581.86,221442.55,215015.06,218928.88,276189.12,344875.7,288604.38,#N/A
67,F7,6,212262.31,231693.16,224637.56,222933.08,219337.77,220928.6,225899.89,210625.05,218026.02,214436.69,334940.34,237685.86,342558.12,#N/A
68,F8,6,206831.61,235927.28,228102.64,223567.17,224542.77,209810.12,227164.61,206483.53,219440.64,206958.89,262443.38,241857.27,274875.44,#N/A
69,F9,6,208787.48,237553.22,321950.72,221131.86,226546.1,223026.3,223953.12,210370.25,214768.36,209464.78,238137.22,259329.38,253173.56,#N/A
70,F10,6,222602.42,234723.27,223318.6,210019.89,215319.12,207947.06,256272.98,197961.2,208813.7,195555.98,258684.06,268370.5,302000.1,#N/A
71,F11,6,191356.97,229171.89,225380.81,212763.77,218955.84,210424.02,211923.67,198616.05,201533.75,197964.39,298604.4,242882.92,230029.03,#N/A
